n_particles,run,Ts,I,SD,Success,Type
5,127,13.805327567856946,18,853.1944620055885,1,Fixed
5,127,22.884727353205406,24,1164.2690554311034,1,RL
5,128,15.480481554035384,23,861.7109700371277,1,Fixed
5,128,25.390868919733506,22,1374.6554135059946,1,RL
5,129,11.084324450164221,17,761.7089119601569,1,Fixed
5,129,22.556413351440256,26,1170.101962944939,1,RL
5,130,17.987648246326916,23,863.7958638895897,1,Fixed
5,130,16.933156800544275,22,851.2371651133166,1,RL
5,131,12.946361472875816,16,703.8689275845472,1,Fixed
5,131,16.32238016015291,21,816.1190080076454,1,RL
5,132,7.111301391006886,22,872.7298503664142,1,Fixed
5,132,17.74014031781778,27,887.0070158908892,1,RL
5,133,82.04153351667455,400,820.4153351667455,0,Fixed
5,133,19.280385643484532,24,1004.2704722657817,1,RL
5,134,14.640279087553708,18,855.5110192764431,1,Fixed
5,134,18.843180604648868,22,943.2568002413445,1,RL
5,135,9.418270214041051,15,791.4650958575867,1,Fixed
5,135,22.619649321457064,26,1142.4573954988684,1,RL
5,136,12.768155688315877,23,928.8020834716101,1,Fixed
5,136,32.038059144518776,26,1683.6452834099928,1,RL
5,137,67.07938706952336,400,670.7938706952336,0,Fixed
5,137,19.032650582368653,400,1154.45635051076,0,RL
5,138,22.6625408509879,17,1123.709197633791,1,Fixed
5,138,18.634675409019987,27,1002.7989622306807,1,RL
5,139,12.918232605507509,14,612.3974100012911,1,Fixed
5,139,19.31767285999845,19,965.8836429999222,1,RL
5,140,55.97828462282964,400,559.7828462282964,0,Fixed
5,140,30.854246589679544,34,1549.2975539444628,1,RL
5,141,14.191793119836666,25,646.0612135311636,1,Fixed
5,141,14.44975357312563,8,747.0316825680657,1,RL
5,142,60.166976412202146,400,601.6697641220214,0,Fixed
5,142,19.49834434820133,21,981.8011993318244,1,RL
5,143,24.99804080024336,17,888.7501091587493,1,Fixed
5,143,25.019311904541755,29,1290.3063695449264,1,RL
5,144,20.287575670512403,17,834.8280802142015,1,Fixed
5,144,31.840693592117873,30,1775.0478088671935,1,RL
5,145,73.34205079778435,400,733.4205079778435,0,Fixed
5,145,22.096787115435777,28,1186.928676246073,1,RL
5,146,79.5230254450332,400,795.230254450332,0,Fixed
5,146,23.688832705133702,32,1184.5001316987004,1,RL
5,147,27.00472017832313,17,834.9456992716395,1,Fixed
5,147,19.56687438209715,22,986.8038188534372,1,RL
5,148,7.393318839930508,16,557.6175968776798,1,Fixed
5,148,30.4225437183187,26,1521.1271859159347,1,RL
5,149,10.008376857426438,30,905.8636573416261,1,Fixed
5,149,15.549421796454878,19,777.4710898227438,1,RL
5,150,17.56354208377214,26,819.4879627601103,1,Fixed
